Platform,Alexa Index,Domain,FAILING date,PASSING date,Days Passed
Mobile,277637,adulthd.tv,7/12/2019,8/10/2019,29
Mobile,281493,porn-movie-xxx.com,5/7/2019,5/9/2019,2
Mobile,283155,shaseist.click,4/19/2019,4/23/2019,4
Mobile,327521,lebahndut.net,4/17/2019,4/30/2019,13
Mobile,348816,novinhastube.info,7/18/2019,7/24/2019,6
Mobile,561074,3dhdsex.com,6/20/2019,6/22/2019,2
Mobile,713853,szextortenetek.info,7/20/2019,7/23/2019,3
Mobile,741712,arabpornsex.com,8/10/2019,8/15/2019,5
Mobile,800752,starsbiowiki.com,4/18/2019,4/21/2019,3
Desktop,42,tribunnews.com,5/16/2019,5/17/2019,1
Desktop,42,tribunnews.com,7/9/2019,7/10/2019,1
Desktop,232,liputan6.com,5/22/2019,5/30/2019,8
Desktop,296,espncricinfo.com,6/25/2019,7/9/2019,14
Desktop,299,ign.com,6/13/2019,6/19/2019,6
Desktop,727,cimaclub.com,6/7/2019,7/9/2019,32
Desktop,1518,abril.com.br,6/16/2019,6/25/2019,9
Desktop,2649,adorocinema.com,7/3/2019,7/27/2019,24
Desktop,3070,mthai.com,6/7/2019,6/11/2019,4
Desktop,3923,walla.co.il,7/3/2019,7/10/2019,7
Desktop,5559,bludv.tv,7/24/2019,8/16/2019,23
Desktop,6449,videospornogratisx.net,8/10/2019,8/16/2019,6
Desktop,6449,videospornogratisx.net,6/18/2019,6/21/2019,3
Desktop,8365,simply-hentai.com,5/24/2019,5/25/2019,1
Desktop,13152,damplips.com,6/19/2019,7/18/2019,29
Desktop,18647,komando.com,4/24/2019,5/16/2019,22
Desktop,20388,themarker.com,7/24/2019,7/30/2019,6
Desktop,27939,xvideo001.com,4/24/2019,4/26/2019,2
Desktop,37955,familjeliv.se,6/21/2019,7/10/2019,19
Desktop,44662,avbebe.com,5/25/2019,6/21/2019,27
Desktop,44662,avbebe.com,7/24/2019,7/30/2019,6
Desktop,56000,esporteemidia.com,6/25/2019,6/27/2019,2
Desktop,69686,ppe.pl,5/9/2019,6/1/2019,23
Desktop,73097,portalpopline.com.br,7/2/2019,7/23/2019,21
Desktop,73097,portalpopline.com.br,7/24/2019,7/25/2019,1
Desktop,94429,extra-3sk.com,7/5/2019,8/3/2019,29
Desktop,95898,keyakizaka46matomerabo.com,7/6/2019,7/10/2019,4
Desktop,108272,axom.in,5/17/2019,6/11/2019,25
Desktop,108272,axom.in,6/29/2019,7/13/2019,14
Desktop,120499,zoofiliavip.com,4/23/2019,5/21/2019,28
Desktop,122030,4khdsex.com,6/20/2019,6/24/2019,4
Desktop,125234,sexarabegy.com,5/30/2019,5/31/2019,1
Desktop,169166,norran.se,5/25/2019,6/11/2019,17
Desktop,185259,benefitspro.com,6/20/2019,7/23/2019,33
Desktop,210528,tatiemaryse.com,7/16/2019,8/15/2019,30
Desktop,242684,24kristianstad.se,4/23/2019,4/24/2019,1
Desktop,385240,latribuna.cl,7/16/2019,8/15/2019,30
Desktop,475172,2kporn.com,6/20/2019,6/21/2019,1
Desktop,561074,3dhdsex.com,6/20/2019,6/22/2019,2
Desktop,565217,accessaa.co.uk,4/17/2019,5/10/2019,23
Desktop,609730,footballnews.ge,5/21/2019,6/15/2019,25
Desktop,688629,mybusiness.com.au,7/4/2019,7/10/2019,6
Desktop,834587,18hdxxx.com,6/20/2019,6/24/2019,4
